How do I apply for School pocket money fund?,Students can apply for The Straits Times School Pocket Money Fund through their respective participating schools or through the nearest Family Service Centre. You may refer to The Straits Times School Pocket Money Fund website for more information.
How does ComCare help the society?,"ComCare has the following objectives:1. To provide assistance to Singapore citizens and permanent residents of Singapore and their family members living in Singapore who are in financial or other difficulties to enable them to:> >  * attain sufficient income to meet their basic needs;
 * address the development issues faced by their children;
 * facilitate their integration into society



2. To develop programmes to enhance the capacity of the community to undertake the objectives mentioned above."
How long is the ComCare assistance valid for?,The officers at the Social Service Office will conduct a holistic assesment to determine how long you will be eligible for the ComCare assistance schemes.
I am not sure if I qualify for financial assistance. Can I get help for myself and/or my family?," If you are seeking financial assistance for yourself and/or your family members, you may approach the Social Service Office (SSO) nearest to your residence. The SSO will assess your situation to determine eligibility for assistance.

You can check the SSO e-locator to determine the nearest SSO to you here."
I see a number of people playing musical instruments in public and collecting money. Is this begging?,Busking falls under the purview of the National Arts Council (NAC). A permit is required from NAC to do busking.
I wish to apply for Financial Assistance (FA) but am unable to visit the Social Service Offices (SSO) for assistance?,"If you are unable to visit the SSO for assistance due to mobility issue, please call ComCare Call at 1800 222 0000 about your request and a Social Service Office (SSO) will contact you to arrange an appointment date."
Is financial assistance available for burial expenses?,The officers at the Social Service Office will conduct a holistic assessment to determine your eligibility for the ComCare assistance schemes.
Must I inform my SSO officer if my circumstances / financial situation change?,You should inform your Social Service Office (SSO) officer should there be a change in your circumstances. This will allow your officer to review your application in a timely manner.
Question on my client's Financial Assistance,"If you have questions pertaining to the Financial Assistance your client might be receiving from the SSO currently, please speak directly to your client's officer at the SSO. This includes questions on:

 1. Whether or not your client if receiving Financial Assistance
    
    
 2. Status/ outcome of Financial Assistance application
    
    
 3. Amount of Financial Assistance 
    
    
 4. Appeals for higher amount of assistance"
Question on my financial assistance,"If you have questions pertaining to the current Financial Assistance you are receiving from the SSO, please speak to your officer at the SSO directly. This includes questions on:

 1. Status/ outcome of Financial Assistance application
    
    
 2. Amount of Financial Assistance 
    
    
 3. Appeals for higher amount of assistance"
What are the opening hours of SSOs?," The Social Service Offices (SSOs) are open from Mondays to Fridays, 9am to 6pm (last registration at 5pm). 

 

The following SSOs are open on Saturdays, 9am-1pm:

 1. SSO @ Woodlands
 2. SSO @ Jurong East
 3. SSO @ Toa Payoh 
 4. SSO @ Tampines"
What are the Social Service Offices (SSOs) operation hours?,"The Social Service Offices (SSOs) are open from Mondays to Fridays, 9am to 6pm (last registration at 5pm). 

The following SSOs are open on Saturdays, 9am-1pm:

 1. SSO @ Woodlands
    
    
 2. SSO @ Jurong East
    
    
 3. SSO @ Tampines
    
    

 4. SSO @ Toa Payoh"
What does gross salary refer to?,You may refer to the Ministry of Manpower (MOM)'s website for information on gross monthly income.
What is ComCare?,The Community Care Endowment Fund (“ComCare Fund”) was launched by Prime Minister Lee Hsien Loong on 28 June 2005 as a sustainable source of funds to provide social assistance to low-income Singaporeans. The interest income generated from the ComCare Fund is used to fund ComCare programmes.
What is the contact number for ComCare Call?,ComCare Call number is 1800-222-0000.
"What is the financial assistance available to the low-income and needy families, and how can I apply?","

There are different types of financial assistance available for those who need different types of help:

Help Required

Scheme

I’m unable to work

Public Assistance / Long-Term Assistance (PA) or Short-to-Medium Term Assistance (SMTA)

I need temporary assistance

Short-to-Medium Term Assistance (SMTA)

I’m a parent in need of education subsidies

Student Care Financial Assistance (SCFA)

You should approach your nearest SSO to see how best they can help you. They will advise you on the necessary schemes to apply for in your situation.

You can find the SSO nearest to your residence or place of work by entering the postal code of the address here."
What is the role of the SSOs in social assistance?,"The SSOs offer financial assistance through schemes under the ComCare Fund, and ensure prompt delivery of relevant social services in their neighbourhood. Being closer to the ground, they are able to understand the needs of residents, and the help available in the community. SSOs can also link clients up with relevant agencies."
What is the status of my Milk Fund application?,MSF does not administer the Milk Fund. Please approach the relevant organisations that you have applied for Milk Fund with.
Where can I find the nearest Social Service Offices (SSO)?,You may locate the nearest Social Service Offices (SSO) to your residence here.
Where can I go to for financial help?,"Please visit the Social Service Office (SSO) near your home or workplace. The SSOs administer the government financial assistance under ComCare. The officer will first assess your circumstances, before determining how best to assist you.You can find the SSO nearest to your home or workplace by entering the postal code of your address here."
How can I submit the supporting documents to claim for my HOPE incentive?,"You may submit the following documents via the following channels:

 1. Email to MSF officer-in-charge
    
    
 2. Arrange to meet your assigned mentor who you have met during your first mentoring session."
How do I apply for Education Bursary under HOPE Scheme?,Those who are eligible for the HOPE scheme can approach their MSF officer-in-charge or HOPE Mentor directly to apply for Education Bursary for your child.
How to apply for HOPE Scheme?,"You can apply for the HOPE scheme at any of our Social Service Offices.To find the SSO nearest to you, please visit our website."
What is Home Ownership Plus Education (HOPE) scheme?,"The Home Ownership Plus Education (HOPE) scheme is a long term, comprehensive scheme for young low-income families who choose to keep their family size small and are committed to upgrading themselves and achieving a better life for themselves and their children."
When do I receive my Conditional Housing Grant annually?,MSF will notify you by end July if you are an existing beneficiary of the HOPE scheme and is eligible to receive the Conditional Housing Grant.
When do I receive my Education Bursary (cash) annually?,"If your child is an existing beneficiary and is eligible to receive Education Bursary (cash), if your child is a:

 1. Preschool student – you will need to submit supporting documents to MSF within the same calendar year. 
    
    
 2. Primary/Secondary/Pre-U/JC student – you do not need to provide supporting documents. MSF will notify you by end April.
    
    
 3. ITE/Polytechnic student – you do not need to provide supporting documents. MSF will notify you by end July
    
    
 4. University student – you do not need to provide supporting documents. MSF will notify you by end October."
When is my first mentoring session for HOPE Scheme?,MSF officer-in-charge will initiate the first mentoring session with you and your assigned mentor.
Who can apply for HOPE scheme?,"Only mothers who are married, divorced or widowed with custody, and care and control of her child is eligible for the HOPE Scheme.

To learn more about the HOPE scheme, please click here."
Can MSF help me with my appeal for HDB flat?,"Besides financial assistance, the Social Service Office (SSO) officer may also assist you to look for work, undergo training or link you up with other help agencies or community partners, such as the Family Service Centre (FSC) or the Housing Development Board (HDB), depending on your needs."
Housing Assistance for low-income,"All public housing matters comes under the purview of the Housing and Development Board (HDB). Please contact HDB directly concerning your housing issues.

However, should you or your family member need financial assistance, please approach a Social Service Office (SSO) for help. The SSOs administer the government financial assistance under ComCare. The officer will first assess your circumstances, before determining how best to assist you. 

 

You may locate the nearest SSO to your residence here."
Are ComCare Long Term Assistance (LTA) recipients eligible for Silver Support?,"ComCare Long Term Assistance recipients aged 65 and above will be eligible for Silver Support.

They will receive a Silver Support payout of $300 every quarter, which is the equivalent of $100 per month. The total Government cash assistance provided to them through ComCare and Silver Support will be $600 per month."
Can I use the PA/ LTA Card for dental services?,"If you are a Public Assistance or Long Term Assistance cardholder, you will receive subsidies for selected dental services at participating CHAS dental clinics upon producing your PA/ LTA card and NRIC upon registration with the clinic. If you need assistance with your medical bills, please approach a medical social worker at your hospital / polyclinic."
Do PA/ LTA recipients need to pay for their in-patient charges with an MFAC card?,"The Medical Fee Assistance Card (MFAC) and Medical Fee Exemption Card (MFEC) cards can be used for basic medical treatments at the public hospitals and polyclinics. For further information, please approach your Medical Social Worker at the hospital or polyclinic."
Does the PA/ LTA card have an expiry date?,The Public Assistance or Long Term Assistance card is valid for as long as you are assisted on the Public Assistance or Long Term Assistance scheme.
How can I apply for the Long Term Assistance (LTA) scheme?,"To apply for the Long Term Assistance (LTA) scheme, please approach the Social Service Office (SSO) nearest to your home. The SSO officer will assess your needs accordingly. You can find out more on the ComCare assistance schemes on MSF's website."
How can the Public Assistance scheme help the needy?,"Public Assistance (or Long-Term Assistance) provides assistance for individuals who are permanently unable to work due to old age, illness or unfavourable family circumstances."
How long is the Long Term Assistance (LTA) valid for?,"Public Assistance (or Long-Term Assistance) are for individuals who are permanently unable to work due to old age, illness or unfavourable family circumstance. There would be regular reviews conducted by our officers to endure individuals' eligibility."
How much assistance will the needy elderly receive under ComCare Long Term Assistance (LTA) and Silver Support?,"Long Term Assistance, or LTA recipients aged 65 and above will receive a standard Silver Support payout of $300 per quarter, equivalent to $100 per month.They will continue to receive their LTA assistance."
"If I already receive ComCare LTA and SMTA and I start receiving Silver Support, will my ComCare assistance be reduced?",There will be no change to the assistance you already receive.
"If I qualify for a higher Silver Support payout and I am placed on ComCare Long Term Assistance (LTA), will my Silver Support payout be reduced?","Since you will be receiving Long Term Assistance or LTA, your Silver Support rates will be aligned to that of other ComCare LTA recipients."
Is the Long Term Assistance (LTA) assistance sufficient to meet the needs of the needy?,MSF reviews the Long Term Assistance (LTA) scheme and rates regularly to ensure they are adequate for clients’ specific needs and keeps pace with the cost of living. MSF will continue to monitor and adjust the scheme accordingly to meet the needs of our clients.
Is the Long Term Assistance (LTA) scheme eligibility criterion too stringent?,"The Long Term Assistance (LTA) scheme aims to provide long-term assistance to needy Singapore Citizens and Permanent Residents who are permanently unable to work due to old age, illness, disability or unfavourable family circumstances. They often have little or no means of income and family support. 

Families or individuals who are facing temporary financial difficulties e.g. loss of job or chronic illness can be supported by other ComCare schemes, such as the Short-to-Medium Term Assistance."
"Since Long Term Assistance (LTA) clients will also qualify for Silver Support, will they receive too much government assistance?","

 * Unlike Long Term Assistance (LTA) which is a discretionary financial assistance scheme, Silver Support is primarily intended to temper inequalities through life by providing a modest yet meaningful cash supplement to the bottom 20-30% of elderly Singaporeans. LTA recipients aged 65 and above would form part of this target group of Silver Support recipients.
   
   
 * Nonetheless, in implementing the Silver Support payout for LTA recipients, we have taken into account that their basic living expenses are already covered under LTA.
   
   
 * Hence, eligible LTA recipients will thus receive an income supplement of $300 per quarter (i.e. $100 per month) through Silver Support."
What are the Long Term Assistance (LTA) scheme rates?,"The Long Term Assistance rates are:

Household Type

Cash Rates 

1 Adult

$500

2 Adults

$870

3 Adults

$1,130

4 Adults

$1,450

To support a school-going child's out-of-pocket expenses, up to $150 per child per month."
What assistance is available for Long Term Assistance (LTA) recipients?," ComCare Long Term Assistance (LTA) recipients receive a monthly cash assistance ranging from $500 for a 1-person household to $1,450 for a 4-person household. Families with children receive an additional allowance of $150 per child per month. 

Other than the monthly cash assistance, LTA recipients with additional or specialised needs, such as healthcare or hygiene consumables, will receive additional help depending on their individual requirements. Assistance is also provided for those who require once-off essentials such as assistive devices or household appliances.

Other forms of assistance include free medical treatment in polyclinics and restructured hospitals, free or highly subsidised social services, and supplementary assistance in cash or in kind."
Who is eligible for the ComCare Long Term Assistance (LTA) scheme?,"The ComCare Long Term Assistance (LTA) Scheme is targeted at the most needy who are permanently unable to work due to old age, illness or disability, have limited or no means of income, and little or no family support.

 
You may be eligible for Long Term Assistance if:

 * You are unable to work due to old age, illness or unfavourable family circumstances
 * You have no means of stable income 
   
   
 * You are elderly persons who receive only a small monthly payout from CPF Minimum Sum/ CPF Life, Pension, Eldershield, Lease Buyback Scheme, and the monthly payout is lower than the prevailing PA rates
   
   
 * You are elderly persons whose children are low income themselves and unable to support their parents. The children must be supporting their own families and each have household income of $1,900 and below, or per capita household income of $650 and below 
   
   
 * You are a Singapore Citizen or a Permanent Resident"
Why do Long Term Assistance (LTA) recipients receive the lowest tier of SS?,"

 * Long Term Assistance (LTA) beneficiaries receive comprehensive assistance: cash for their daily living expenses, free medical treatment at restructured hospitals and polyclinics, additional assistance for recurrent and hygiene needs, assistive devices or household appliances, free or highly subsidised social services, and other supplementary assistance in cash or in kind.
   
   
 * MSF reviews the LTA cash assistance rates regularly to ensure that it keeps pace with the cost of living to help recipients meet their daily needs. This year, we will be increasing the LTA cash assistance rate for a 1-person household to $500 per month. The rates for larger household sizes will also be increased.
   
   
 * In implementing the Silver Support payout for LTA recipients, we took into account that their basic living expenses are already covered under LTA. The majority of LTA recipients are elderly. As the Silver Support payouts are to supplement other forms of retirement income, we have set the Silver Support payout for eligible LTA recipients at $300 per quarter (i.e. $100 per month). The total Government cash assistance provided to them through ComCare and Silver Support will be $600 per month."
Will ComCare Short-to-Medium Term Assistance (SMTA) clients be eligible for Silver Support? How will it affect SMTA amounts?,"Short-to-Medium Term Assistance (SMTA) recipients who meet the eligibility criteria for the Silver Support scheme will receive Silver Support. The amount of Silver Support benefits will vary according to the type of HDB flat that the recipient is living in. Those living in smaller HDB flats will receive more Silver Support benefits.

We will take into consideration the Silver Support payout when assessing the eligibility for and quantum of financial assistance needed by the clients."
Will I still receive Long Term Assistance (LTA) if I am enrolled into a home?,The officers at the Social Service Office will conduct a holistic assessment to determine your eligibility for the ComCare assistance schemes.
Can CHAS pay for home medical help?,"For information on subsidies for government-funded Intermediate Long-Term Care Services, please refer to thispageonMOH’s website."
